resp_pkts,service,orig_ip_bytes,local_resp,missed_bytes,protocol,duration,conn_state,dest_ip,orig_pkts,community_id,resp_ip_bytes,dest_port,orig_bytes,local_orig,datetime,history,resp_bytes,uid,src_port,ts,src_ip,mitre_attack_tactics
4,,176,false,0,tcp,8.449554443359375E-4,REJ,143.88.2.12,4,1:JCuToPyQMJ29Yj8yBq4IBtOuUxI=,160,443,0,false,2022-02-11T09:52:26.618Z,Sr,0,CIk3hV1ZoelpIcgSg,46411,1.644573146618264E9,143.88.7.10,Discovery
4,,176,false,0,tcp,7.770061492919922E-4,REJ,143.88.2.12,4,1:u/advu2SYsXAr4BtQre5269jKQQ=,160,443,0,false,2022-02-11T09:52:28.620Z,Sr,0,C8zmrlJz6wjQtQgQh,46412,1.644573148620425E9,143.88.7.10,Discovery
1,,132,false,0,tcp,3.039836883544922E-4,REJ,143.88.2.12,3,1:p9eU4XA6EJ6DPtKBBUB5NT05SGo=,40,10002,0,false,2022-02-11T09:52:53.522Z,Sr,0,CbFkIb3aLRExrixSX6,38581,1.644573173522125E9,143.88.7.10,Discovery
1,,132,false,0,tcp,4.971027374267578E-4,REJ,143.88.2.12,3,1:RuQwvQCO6LKHh/SsNS+lZcPa+TA=,40,3945,0,false,2022-02-11T09:52:53.522Z,Sr,0,CRCSgymeFcqoN1Ung,38581,1.644573173522203E9,143.88.7.10,Discovery
1,,132,false,0,tcp,3.2401084899902344E-4,REJ,143.88.2.12,3,1:tmQuAkTtFRmmTvM79djawnU/SqM=,40,5907,0,false,2022-02-11T09:52:53.537Z,Sr,0,CweHu22KomcjsPS0m9,38581,1.644573173537252E9,143.88.7.10,Discovery
1,,132,false,0,tcp,4.3702125549316406E-4,REJ,143.88.2.12,3,1:DRp7EgzniQ5tCH6sx4Sc590MvsY=,40,8001,0,false,2022-02-11T09:52:53.517Z,Sr,0,CzgaGe1j8GyLDEmpoa,38581,1.644573173517675E9,143.88.7.10,Discovery
1,,132,false,0,tcp,2.498626708984375E-4,REJ,143.88.2.12,3,1:iYKV+xWZN95u5ZqyR34K2lApKOM=,40,1999,0,false,2022-02-11T09:52:53.526Z,Sr,0,CoGghR2wI0mKofLgy6,38581,1.644573173526189E9,143.88.7.10,Discovery
1,,132,false,0,tcp,2.219676971435547E-4,REJ,143.88.2.12,3,1:1kqcKBCjm7mEfD3X72pxfRcWoIw=,40,8443,0,false,2022-02-11T09:52:53.540Z,Sr,0,CKA5IB2tBLJGVEH4Mc,38581,1.644573173540851E9,143.88.7.10,Discovery
0,,60,false,0,tcp,,SH,143.88.2.12,1,1:Xy8Bp9ueNd08+gwPwxvUA8kltJw=,0,22,,false,2022-02-11T09:52:54.332Z,Q,,CBP5pv3hVlrRrYPrK4,50345,1.644573174332953E9,143.88.7.10,Discovery
0,,60,false,0,tcp,,SH,143.88.2.12,1,1:Xy8Bp9ueNd08+gwPwxvUA8kltJw=,0,22,,false,2022-02-11T09:52:54.483Z,Q,,Cl0ZGO2Wp2hcZZc55h,50345,1.644573174483616E9,143.88.7.10,Discovery
0,,60,false,0,tcp,,SH,143.88.2.12,1,1:Xy8Bp9ueNd08+gwPwxvUA8kltJw=,0,22,,false,2022-02-11T09:52:54.609Z,Q,,CfxT721yePF0MXOiA,50345,1.644573174609174E9,143.88.7.10,Discovery
4,,400,false,0,tcp,0.0010750293731689453,RSTO,143.88.2.12,8,1:o5fRL9ybXVuC7RweVYb1W5vSuiE=,240,22,0,false,2022-02-11T09:52:53.681Z,ShR,0,CUtNlA10dNtlj5kGBk,50330,1.644573173681736E9,143.88.7.10,Discovery
4,,400,false,0,tcp,0.0010290145874023438,RSTO,143.88.2.12,8,1:pl4k/WxNkj3WShSgOvGjBwhYJvo=,240,22,0,false,2022-02-11T09:52:53.781Z,ShR,0,CeQ8AD2rpXVUAdDEri,50331,1.644573173781874E9,143.88.7.10,Discovery
4,,400,false,0,tcp,0.0010099411010742188,RSTO,143.88.2.12,8,1:4UF4cz/X4XfsBx3NqBbxCiMh/4Y=,240,22,0,false,2022-02-11T09:52:54.082Z,ShR,0,CFxXe53ko4wDjrw7Uk,50334,1.644573174082247E9,143.88.7.10,Discovery
4,,368,false,0,tcp,0.0011839866638183594,RSTO,143.88.2.12,8,1:4i3mq6FfFbkstoe2ZRhF1UN4Ll4=,208,22,0,false,2022-02-11T09:52:54.282Z,ShR,0,CihjbO12Plj6Lq4D3,50342,1.64457317428276E9,143.88.7.10,Discovery
4,,400,false,0,tcp,0.0011799335479736328,RSTO,143.88.2.12,8,1:PnWQMAKwk1OB56UF1k9/PIOZz28=,240,22,0,false,2022-02-11T09:52:53.882Z,ShR,0,COMEqZ3cd8vfccOxw5,50332,1.644573173882008E9,143.88.7.10,Discovery
4,,384,false,0,tcp,0.0012941360473632812,RSTO,143.88.2.12,8,1:RHJHaanUnXe+n3fO6Oc7ANI1lVc=,240,22,0,false,2022-02-11T09:52:53.982Z,ShR,0,Crgj2f4dEW2wDotY7,50333,1.644573173982133E9,143.88.7.10,Discovery
4,,384,false,0,tcp,0.0010399818420410156,RSTO,143.88.2.12,8,1:ZJzupEiMzbH8CaB4SzJAeFvhFyc=,224,22,0,false,2022-02-11T09:52:54.182Z,ShR,0,ChTfz01OL4U6nnrdPd,50335,1.64457317418236E9,143.88.7.10,Discovery
4,,240,false,0,tcp,8.699893951416016E-4,REJ,143.88.2.12,4,1:KVzUlo1gxRWTFwwveb9rTvK6lRc=,160,1,0,false,2022-02-11T09:52:54.383Z,Sr,0,CS8ARO2ZEJsjsek7qc,50347,1.644573174383182E9,143.88.7.10,Discovery
0,,60,false,0,tcp,,SH,143.88.2.12,1,1:Xy8Bp9ueNd08+gwPwxvUA8kltJw=,0,22,,false,2022-02-11T09:52:54.734Z,Q,,CJMhJm1NHiWl6H60r7,50345,1.644573174734744E9,143.88.7.10,Discovery
0,,60,false,0,tcp,,SH,143.88.2.12,1,1:Xy8Bp9ueNd08+gwPwxvUA8kltJw=,0,22,,false,2022-02-11T09:52:56.589Z,Q,,CexSEF2QH4l7SMokFl,50345,1.644573176589607E9,143.88.7.10,Discovery
0,,60,false,0,tcp,,SH,143.88.2.12,1,1:Xy8Bp9ueNd08+gwPwxvUA8kltJw=,0,22,,false,2022-02-11T09:52:56.740Z,Q,,CnCrxsat5mkTddIp4,50345,1.644573176740279E9,143.88.7.10,Discovery
0,,60,false,0,tcp,,SH,143.88.2.12,1,1:Xy8Bp9ueNd08+gwPwxvUA8kltJw=,0,22,,false,2022-02-11T09:52:56.865Z,Q,,Cu1nTvNhzGt7zmxil,50345,1.64457317686573E9,143.88.7.10,Discovery
4,,400,false,0,tcp,0.0010221004486083984,RSTO,143.88.2.12,8,1:o5fRL9ybXVuC7RweVYb1W5vSuiE=,240,22,0,false,2022-02-11T09:52:55.938Z,ShR,0,CxOTjewnWTeSS08Ub,50330,1.644573175938475E9,143.88.7.10,Discovery
4,,400,false,0,tcp,0.0011141300201416016,RSTO,143.88.2.12,8,1:pl4k/WxNkj3WShSgOvGjBwhYJvo=,240,22,0,false,2022-02-11T09:52:56.038Z,ShR,0,C2kIf64U3mIl4J2of2,50331,1.64457317603859E9,143.88.7.10,Discovery
4,,176,false,0,tcp,8.668899536132812E-4,REJ,143.88.2.12,4,1:AS3SsOI1nz2xnxkPleVujAyPC50=,160,993,0,false,2022-02-11T09:52:53.513Z,Sr,0,CoG28743prg8gqTgrj,38581,1.644573173513921E9,143.88.7.10,Discovery
4,,176,false,0,tcp,8.6212158203125E-4,REJ,143.88.2.12,4,1:NblmwVRbj6B2IYeqqkNPGPnjxnk=,160,445,0,false,2022-02-11T09:52:53.513Z,Sr,0,Cqmbk8HBH3sUzJMbk,38581,1.644573173513927E9,143.88.7.10,Discovery
4,,176,false,0,tcp,8.609294891357422E-4,REJ,143.88.2.12,4,1:HypGv8yCCZlsm553tnhAR2RTGF0=,160,23,0,false,2022-02-11T09:52:53.513Z,Sr,0,C8oqR11NnjPaxIDsal,38581,1.644573173513974E9,143.88.7.10,Discovery
4,,176,false,0,tcp,8.23974609375E-4,REJ,143.88.2.12,4,1:rASbTg52LstwL74eR8J0fYm73bw=,160,80,0,false,2022-02-11T09:52:53.514Z,Sr,0,CaU3vG2lLdzrs6PFHg,38581,1.644573173514013E9,143.88.7.10,Discovery
4,,176,false,0,tcp,8.261203765869141E-4,REJ,143.88.2.12,4,1:rhTjJj5Wepp6dTqwGlXWU3/0SnY=,160,111,0,false,2022-02-11T09:52:53.514Z,Sr,0,CKnan43xkoOHEtNpp8,38581,1.644573173514015E9,143.88.7.10,Discovery
4,,176,false,0,tcp,8.339881896972656E-4,REJ,143.88.2.12,4,1:J/9xs1LVM0oI9CWxh0guwtcbgF8=,160,1723,0,false,2022-02-11T09:52:53.514Z,Sr,0,CRhyLR1N864XoXvETc,38581,1.644573173514009E9,143.88.7.10,Discovery
4,,176,false,0,tcp,6.849765777587891E-4,REJ,143.88.2.12,4,1:F3MuR/W+k/0iek4nMp9D9HHnMPg=,160,554,0,false,2022-02-11T09:52:53.514Z,Sr,0,ChR1sMypiSfE8XTHc,38581,1.644573173514962E9,143.88.7.10,Discovery
